"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"BAT_VCC1";"Keystone_2468_2xAAA";1;"2xAAA";;;
2;"BAT_RTC1";"Keystone_1058_1x2032-CoinCell";1;"CR2032";;;
3;"C1,C2";"C_0603_HandSoldering";2;"10uF";;;
4;"C3";"CP_Tantalum_Case-A_EIA-3216-18_Hand";1;"0.1uF";;;
5;"C4,C5";"C_0805_HandSoldering";2;"22pF";;;
6;"C6";"C_0805_HandSoldering";1;"10uF";;;
7;"D1";"LED_1206_HandSoldering";1;"RED";;;
8;"D2";"LED_1206_HandSoldering";1;"GREEN";;;
9;"J1";"Hirose_DM3D-SF";1;"Micro_SD_Card";;;
10;"J2";"Pin_Header_Straight_2x03_Pitch2.54mm";1;"ICSP";;;
11;"J3";"Pin_Header_Straight_2x02_Pitch2.54mm";1;"RTC_ICSP";;;
12;"L1";"L_Taiyo-Yuden_NR-50xx_HandSoldering";1;"2.2uH";;;
13;"Q1";"SOT-23";1;"2N7002";;;
14;"Q2";"Crystal_SMD_3225-4pin_3.2x2.5mm_HandSoldering";1;"16Mhz";;;
15;"R1,R2,R3,R4,R9,R10,R11,R14,R15";"R_0805_HandSoldering";9;"10K";;;
16;"R5";"R_0805_HandSoldering";1;"10";;;
17;"R6";"R_0805_HandSoldering";1;"100K";;;
18;"R7";"R_0805_HandSoldering";1;"100";;;
19;"R8";"R_0805_HandSoldering";1;"68";;;
20;"R12,R13";"R_0805_HandSoldering";2;"1K";;;
21;"SW1";"SW_SPST_B3S-1000";1;"SW_A";;;
22;"SW2";"SW_SPST_B3S-1000";1;"SW_B";;;
23;"U1";"SOT-23-5_HandSoldering";1;"RP402";;;
24;"U2";"TQFP-32_7x7mm_Pitch0.8mm";1;"ATMEGA328P-PU";;;
25;"U3";"SOIC-16W_7.5x10.3mm_Pitch1.27mm";1;"DS3231";;;
26;"REF**,REF**,REF**,REF**";"MountingHole_2.2mm_M2";4;"MountingHole_2.2mm_M2";;;
